UniProt_ID,Tranception_no_retrieval,Tranception_retrieval,EVE_single,EVE_ensemble,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1v_single,ESM1v_ensemble,Wavenet,DeepSequence,Site_Independent,EVmutation,Ensemble_tranception_EVE,number_mutants,Neff_L_category,Taxon
A0A140D2T1_ZIKV,0.2683625559912878,0.34604810411928244,0.36606796308081346,0.38996619828860585,0.4647784382052948,0.4414331780018564,-0.06361793738783343,-0.0017477240835302285,0.2141584006207616,0.14091824075003692,0.3818659703380244,0.36099558179456503,0.38306144572232914,9272.0,medium,Virus
A0A192B1T2_9HIV1,0.5100442516401762,0.5088908322799826,0.5097496645973479,0.5110634268196941,0.510354350689384,0.510693715196248,0.4880339043364023,0.5120491088600657,0.4625116957934671,0.41546308663352893,0.47672626490471215,0.4044749288241144,0.5202886429519632,12484.0,medium,Virus
A0A1I9GEU1_NEIME,0.08796133456124182,0.044209859225231476,-0.003765597607573405,0.0008774517521861257,0.07676786912484704,0.08713627993069585,0.04587651686000201,0.050613582781461254,0.05474404472828233,0.0023419646377137956,-0.01160190964393314,0.014539776712794356,0.01683997663248538,791.0,medium,Prokaryote
A0A2Z5U3Z0_9INFA,0.5281274872250872,0.5445226399041332,0.5290457104579911,0.5333727482251489,0.32592555032934845,0.5203897190659227,0.4845794109453864,0.5261376849610349,0.4358630945930342,0.4560195421979991,0.4782435269800004,0.48598697409040903,0.5555922609280664,6374.0,medium,Virus
A4D664_9INFA,0.40361906288629745,0.39326710179649593,0.4094081468915119,0.407951993688213,0.3325495987943195,0.336157068274433,0.02562683354762951,0.03261444503278893,0.26000030398976853,0.4048500514671486,0.4109097812562029,0.34014798383550277,0.45392048517890926,14421.0,medium,Virus
A4GRB6_PSEAI,0.5982122089602063,0.6634568570346916,0.6718620356908503,0.6903898613978321,0.7072964905778694,0.6850587038649043,0.6470637002328481,0.6628015231569235,0.6135022638173424,0.6875667664160058,0.48212805178065354,0.6460010741062963,0.6984761750385122,3624.0,high,Prokaryote
A4_HUMAN,0.36351569801796013,0.45173436873073025,0.3009564928997305,0.30048420807320286,0.39356061058478203,0.3917644259986091,0.30888096628741923,0.39796556714547254,0.2450900990772772,0.40061329829297027,0.3886559934148186,0.3806287702792326,0.4155418326296614,14477.0,low,Human
AACC1_PSEAI,0.4065360600934696,0.4479918138912742,0.4989070948974616,0.4978173219501657,0.5049665294347807,0.5025440451940878,0.4879083297476817,0.4858323856262529,0.3830616211846942,0.49318018705521666,0.2719502211223037,0.45133369606067336,0.4834039430402071,1464.0,high,Prokaryote
ADRB2_HUMAN,0.5013377590549591,0.5417820843656226,0.5339254955423547,0.5370507975119069,0.43633363006254794,0.5044380504118418,0.5230345836019332,0.5408086609463229,0.5485553368636075,0.5301854986950403,0.45873721133002887,0.5104499490768755,0.5548324580619083,5575.0,medium,Human
AMIE_PSEAE,0.5007963656839056,0.5852008598150663,0.5576975755168027,0.5656835027140049,0.6112567480544294,0.6093066176803734,0.6056301101894503,0.657352069702997,0.508852374799764,0.5471568634300928,0.38274695789077745,0.5353722529960576,0.608426107412749,4581.0,high,Prokaryote
B3VI55_LIPST,0.4913786167560387,0.46758864728261207,0.4357591628228424,0.43891895934333336,0.5345389272702125,0.5084835871065317,0.48283984006302505,0.5150675142743895,0.4575280049853763,0.43767442318880984,0.3329359461215215,0.4472039060316086,0.46525772780833313,6433.0,medium,Eukaryote
